date,q_predicted,Store,prediction_datetime
2022-01-10 11:00:00,20.945711528649184,5.0,2022-07-15 00:52:22.438772
2022-01-10 11:00:00,10.257958714648563,9.0,2022-07-15 00:52:22.438772
2022-01-10 11:30:00,13.739416006550222,1.0,2022-07-15 00:52:22.438772
2022-01-10 11:30:00,24.69625577250399,5.0,2022-07-15 00:52:22.438772
2022-01-10 11:30:00,11.165255542782937,9.0,2022-07-15 00:52:22.438772
2022-01-10 12:00:00,18.549714017468858,1.0,2022-07-15 00:52:22.438772
2022-01-10 12:00:00,28.044611276405917,5.0,2022-07-15 00:52:22.438772
2022-01-10 12:00:00,14.974301967180459,9.0,2022-07-15 00:52:22.438772
2022-01-10 12:30:00,22.10108427986586,1.0,2022-07-15 00:52:22.438772
2022-01-10 12:30:00,33.73418468712092,5.0,2022-07-15 00:52:22.438772
2022-01-10 12:30:00,16.92884626582295,9.0,2022-07-15 00:52:22.438772
2022-01-10 13:00:00,26.48326469697264,1.0,2022-07-15 00:52:22.438772
2022-01-10 13:00:00,33.66243486868884,5.0,2022-07-15 00:52:22.438772
2022-01-10 13:00:00,15.69161591889991,9.0,2022-07-15 00:52:22.438772
2022-01-10 13:30:00,31.314250033944482,1.0,2022-07-15 00:52:22.438772
2022-01-10 13:30:00,39.82496577755128,5.0,2022-07-15 00:52:22.438772
2022-01-10 13:30:00,20.809829742526134,9.0,2022-07-15 00:52:22.438772
2022-01-10 14:00:00,34.718780330977665,1.0,2022-07-15 00:52:22.438772
2022-01-10 14:00:00,46.92308251209845,5.0,2022-07-15 00:52:22.438772
2022-01-10 14:00:00,27.909174605038,9.0,2022-07-15 00:52:22.438772
2022-01-10 14:30:00,35.45981407482688,1.0,2022-07-15 00:52:22.438772
2022-01-10 14:30:00,54.0987222630392,5.0,2022-07-15 00:52:22.438772
2022-01-10 14:30:00,25.373385845472896,9.0,2022-07-15 00:52:22.438772
2022-01-10 15:00:00,43.03274538198751,1.0,2022-07-15 00:52:22.438772
2022-01-10 15:00:00,62.808206421804336,5.0,2022-07-15 00:52:22.438772
2022-01-10 15:00:00,30.288976653675483,9.0,2022-07-15 00:52:22.438772
2022-01-10 15:30:00,46.058272236440175,1.0,2022-07-15 00:52:22.438772
2022-01-10 15:30:00,60.792635053069944,5.0,2022-07-15 00:52:22.438772
2022-01-10 15:30:00,26.9999347206016,9.0,2022-07-15 00:52:22.438772
2022-01-10 16:00:00,47.01071614859427,1.0,2022-07-15 00:52:22.438772
2022-01-10 16:00:00,67.74147389028991,5.0,2022-07-15 00:52:22.438772
2022-01-10 16:00:00,33.00155439212831,9.0,2022-07-15 00:52:22.438772
2022-01-10 16:30:00,44.345159716338514,1.0,2022-07-15 00:52:22.438772
2022-01-10 16:30:00,68.80646002882409,5.0,2022-07-15 00:52:22.438772
2022-01-10 16:30:00,31.82764718139712,9.0,2022-07-15 00:52:22.438772
2022-01-10 17:00:00,40.99735851025868,1.0,2022-07-15 00:52:22.438772
2022-01-10 17:00:00,65.49865637667709,5.0,2022-07-15 00:52:22.438772
2022-01-10 17:00:00,29.508717795215244,9.0,2022-07-15 00:52:22.438772
2022-01-10 17:30:00,42.102220897923836,1.0,2022-07-15 00:52:22.438772
2022-01-10 17:30:00,64.41654904050715,5.0,2022-07-15 00:52:22.438772
2022-01-10 17:30:00,29.01497290962289,9.0,2022-07-15 00:52:22.438772
2022-01-10 18:00:00,38.75359185993406,1.0,2022-07-15 00:52:22.438772
2022-01-10 18:00:00,63.06325460180281,5.0,2022-07-15 00:52:22.438772
2022-01-10 18:00:00,27.57283729447594,9.0,2022-07-15 00:52:22.438772
2022-01-10 18:30:00,40.79361719019501,1.0,2022-07-15 00:52:22.438772
2022-01-10 18:30:00,63.976143628346364,5.0,2022-07-15 00:52:22.438772
2022-01-10 18:30:00,27.055580240452915,9.0,2022-07-15 00:52:22.438772
2022-01-10 19:00:00,39.75911199884001,1.0,2022-07-15 00:52:22.438772
2022-01-10 19:00:00,62.68850235678255,5.0,2022-07-15 00:52:22.438772
2022-01-10 19:00:00,27.763569473657586,9.0,2022-07-15 00:52:22.438772
2022-01-10 19:30:00,42.99495603653369,1.0,2022-07-15 00:52:22.438772
2022-01-10 19:30:00,65.17262161550693,5.0,2022-07-15 00:52:22.438772
2022-01-10 19:30:00,33.147417549758245,9.0,2022-07-15 00:52:22.438772
